taxon_id,gbif_taxonID,scientific_name,common_name,blm_status,kingdom,phylum,class,order,family,genus,species,subspecies,variety
7762811,7762811,NA,NA,NA,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Marinifilum,NA,NA,NA
7762811,7762811,NA,NA,NA,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Marinifilum,NA,NA,NA
2137316,4663154,Status: S – Sensitive; C – Candidate; P - Proposed,NA,NA,Animalia,Arthropoda,Arachnida,Araneae,Linyphiidae,Entelecara,NA,NA,NA
4286866,4286866,Catostomus discobolus,Bluehead sucker,CA,Animalia,Chordata,NA,Cypriniformes,Catostomidae,Catostomus,Catostomus discobolus,NA,NA
5711989,5711989,Oncorhynchus clarkii utah,Bonneville cutthroat trout,CA,Animalia,Chordata,NA,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus clarkii,Oncorhynchus clarkii utah,NA
5853893,5853893,Oncorhynchus clarkii pleuriticus,Colorado River cutthroat trout,CA,Animalia,Chordata,NA,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus clarkii,Oncorhynchus clarki pleuriticus,NA
2359050,2359050,Catostomus clarkii,Desert sucker,SS,Animalia,Chordata,NA,Cypriniformes,Catostomidae,Catostomus,Catostomus clarkii,NA,NA
2359036,2359036,Catostomus latipinnis,Flannelmouth sucker,CA,Animalia,Chordata,NA,Cypriniformes,Catostomidae,Catostomus,Catostomus latipinnis,NA,NA
2362727,2362727,Iotichthys phlegethontis,Least chub,CA,Animalia,Chordata,NA,Cypriniformes,Cyprinidae,Iotichthys,Iotichthys phlegethontis,NA,NA
2361899,2361899,Lepidomeda copei,Northern leatherside chub,CA,Animalia,Chordata,NA,Cypriniformes,Cyprinidae,Lepidomeda,Lepidomeda copei,NA,NA
2360128,2360128,Gila robusta,Roundtail chub,CA,Animalia,Chordata,NA,Cypriniformes,Cyprinidae,Gila,Gila robusta,NA,NA
2361903,2361903,Lepidomeda aliciae,Southern leatherside chub,CA,Animalia,Chordata,NA,Cypriniformes,Cyprinidae,Lepidomeda,Lepidomeda aliciae,NA,NA
6166781,6166781,Lepidomeda mollispinis mollispinis,Virgin spinedace,CA,Animalia,Chordata,NA,Cypriniformes,Cyprinidae,Lepidomeda,Lepidomeda mollispinis,Lepidomeda mollispinis mollispinis,NA
5722956,5722956,Oncorhynchus clarkii bouvieri,Yellowstone cutthroat trout,CA,Animalia,Chordata,NA,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus clarkii,Oncorhynchus clarki bouvieri,NA
2422911,2422911,Anaxyrus microscaphus,Arizona toad,SS,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,Anaxyrus microscaphus,NA,NA
2426785,2426785,Rana luteiventris,Columbia spotted frog,CA,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,Rana luteiventris,NA,NA
2422882,2422882,Anaxyrus cognatus,Great Plains toad,SS,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,Anaxyrus cognatus,NA,NA
2422924,2422924,Anaxyrus boreas,Western (boreal) toad,SS,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,Anaxyrus boreas,NA,NA
2459705,2459705,Sauromalus ater,Common chuckwalla,SS,Animalia,Chordata,Squamata,NA,Iguanidae,Sauromalus,Sauromalus ater,NA,NA
2455615,7707269,Elaphe guttata,Cornsnake,SS,Animalia,Chordata,Squamata,NA,Colubridae,Pantherophis,Pantherophis guttatus,NA,NA
2459646,2459646,Dipsosaurus dorsalis,Desert iguana,SS,Animalia,Chordata,Squamata,NA,Iguanidae,Dipsosaurus,Dipsosaurus dorsalis,NA,NA
2451726,2451726,Xantusia vigilis,Desert night lizard,SS,Animalia,Chordata,Squamata,NA,Xantusiidae,Xantusia,Xantusia vigilis,NA,NA
2460817,2460817,Heloderma suspectum,Gila monster,SS,Animalia,Chordata,Squamata,NA,Helodermatidae,Heloderma,Heloderma suspectum,NA,NA
2444480,2444480,Crotalus scutulatus,Mojave rattlesnake,SS,Animalia,Chordata,Squamata,NA,Viperidae,Crotalus,Crotalus scutulatus,NA,NA
2444360,2444360,Crotalus cerastes,Sidewinder,SS,Animalia,Chordata,Squamata,NA,Viperidae,Crotalus,Crotalus cerastes,NA,NA
2458587,2458587,Opheodrys vernalis,Smooth Green snake,SS,Animalia,Chordata,Squamata,NA,Colubridae,Opheodrys,Opheodrys vernalis,NA,NA
2444376,2444376,Crotalus mitchellii,Speckled rattlesnake,SS,Animalia,Chordata,Squamata,NA,Viperidae,Crotalus,Crotalus mitchellii,NA,NA
2447244,2447244,Coleonyx variegatus,Western banded gecko,SS,Animalia,Chordata,Squamata,NA,Eublepharidae,Coleonyx,Coleonyx variegatus,NA,NA
5221791,2448527,Leptotyphlops humilis,Western threadsnake,SS,Animalia,Chordata,Squamata,NA,Leptotyphlopidae,Rena,Rena humilis,NA,NA
2451459,2451459,Callisaurus draconoides,Zebra-tailed lizard,SS,Animalia,Chordata,Squamata,NA,Phrynosomatidae,Callisaurus,Callisaurus draconoides,NA,NA
9543753,9543753,Picoides dorsalis,American Three-toed woodpecker,SS,Animalia,Chordata,Aves,Piciformes,Picidae,Picoides,Picoides dorsalis,NA,NA
5229155,5229155,Pelecanus erythrorhynchos,American white pelican,SS,Animalia,Chordata,Aves,Pelecaniformes,Pelecanidae,Pelecanus,Pelecanus erythrorhynchos,NA,NA
2480446,2480446,Haliaeetus leucocephalus,Bald eagle,SS,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Haliaeetus,Haliaeetus leucocephalus,NA,NA
2477282,2477282,Cypseloides niger,Black swift,SS,Animalia,Chordata,Aves,Apodiformes,Apodidae,Cypseloides,Cypseloides niger,NA,NA
2484417,2484417,Dolichonyx oryzivorous,Bobolink,SS,Animalia,Chordata,Aves,Passeriformes,Icteridae,Dolichonyx,Dolichonyx oryzivorus,NA,NA
2497240,2497240,Athene cunicularia,Burrowing owl,SS,Animalia,Chordata,Aves,Strigiformes,Strigidae,Athene,Athene cunicularia,NA,NA
6180028,6180028,Tympanuchus phasianellus columbianus,Columbian Sharp-tailed grouse,SS,Animalia,Chordata,Aves,Galliformes,Phasianidae,Tympanuchus,Tympanuchus phasianellus,Tympanuchus phasianellus columbianus,NA
2480566,2480566,Buteo regalis,Ferruginous hawk,SS,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,Buteo regalis,NA,NA
