common_name,scientific_name,mbta,federally_endangered,federally_threatened,bcc_rangewide_in_continental_us_and_or_pr_and_vi_or_hi_and_pacific_islands,bc_rs_for_bcc_listing_non_breeding,bc_rs_for_bcc_listing_breeding,gbif_taxonID,kingdom,phylum,class,order,family,genus,species,taxon_id
Ivory‐billed Woodpecker,Campephilus principalis,Y,Wherever found,NA,NA,NA,NA,2478561,Animalia,Chordata,Aves,Piciformes,Picidae,Campephilus,Campephilus principalis,2478561
Kauaʻi ʻAmakihi,Chlorodrepanis stejnegeri,Y,NA,NA,Yes,NA,102,7706576,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Chlorodrepanis,Chlorodrepanis stejnegeri,7706576
Kentucky Warbler,Geothlypis formosa,Y,NA,NA,Yes,NA,"21,22,24,25,26,27,28,29,30",6093586,Animalia,Chordata,Aves,Passeriformes,Parulidae,Geothlypis,Geothlypis formosa,6093586
King Rail,Rallus elegans,Y,NA,NA,Yes,NA,"19,22,23,24,25,26,27,29,30,31,36,37",9480015,Animalia,Chordata,Aves,Gruiformes,Rallidae,Rallus,Rallus elegans,9480015
Kirtland's Warbler,Setophaga kirtlandii,Y,NA,NA,Yes,NA,"12,23",6093362,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,Setophaga kirtlandii,6093362
Kittlitz's Murrelet,Brachyramphus brevirostris,Y,NA,NA,Yes,"M14,M15","1,2,3,5",5229286,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus brevirostris,5229286
Lark Bunting,Calamospiza melanocorys,Y,NA,NA,No,NA,"17,19",2491893,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Calamospiza,Calamospiza melanocorys,2491893
Lawrence's Goldfinch,Spinus lawrencei,Y,NA,NA,Yes,NA,"15,32,33",5231643,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Spinus,Spinus lawrencei,5231643
Laysan Albatross,Phoebastria immutabilis,Y,NA,NA,Yes,"M15,M17",102,2481381,Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Phoebastria,Phoebastria immutabilis,2481381
Laysan Duck,Anas laysanensis,Y,Wherever found,NA,NA,NA,NA,2498109,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas laysanensis,2498109
Laysan Finch,Telespiza cantans,Y,Wherever found,NA,NA,NA,NA,2494416,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Telespiza,Telespiza cantans,2494416
Least Tern,Sternula antillarum,Y,Ssp. browni only ‐ wherever found,NA,Yes ‐ ssp. antillarum and athalassos only,NA,"27,30,31,37",5789285,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sternula,Sternula antillarum,5789285
LeConte's Sparrow,Ammospiza leconteii,Y,NA,NA,Yes,"24,35,26,27,37","11,12,23",2491081,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Ammospiza,Ammospiza leconteii,2491081
LeConte's Thrasher,Toxostoma lecontei,Y,NA,NA,Yes,NA,33,5231703,Animalia,Chordata,Aves,Passeriformes,Mimidae,Toxostoma,Toxostoma lecontei,5231703
Lesser Prairie‐Chicken,Tympanuchus pallidicinctus,N,Southern DPS,Northern DPS,NA,NA,NA,2473529,Animalia,Chordata,Aves,Galliformes,Phasianidae,Tympanuchus,Tympanuchus pallidicinctus,2473529
Lesser Yellowlegs,Tringa flavipes,Y,NA,NA,Yes,"5,9,10,11,12,13,14,16,17,18,19,20,21,22,23,24,2
5,26,27,30,31,36,37, 101",4,2481721,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,Tringa flavipes,2481721
Lewis's Woodpecker,Melanerpes lewis,Y,NA,NA,Yes,NA,"9,10,15,16,17,18,34",2478142,Animalia,Chordata,Aves,Piciformes,Picidae,Melanerpes,Melanerpes lewis,2478142
Limpkin,Aramus guarauna,Y,NA,NA,Yes ‐ ssp. elucus only,NA,101,2474337,Animalia,Chordata,Aves,Gruiformes,Aramidae,Aramus,Aramus guarauna,2474337
Little Blue Heron,Egretta caerulea,Y,NA,NA,No,NA,"21,26",2480894,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Egretta,Egretta caerulea,2480894
Loggerhead Shrike,Lanius ludovicianus,Y,Ssp. mearnsi only ‐ wherever found,NA,"No ‐ ssp. excubitorides and migrans
only",NA,"21,22,37",2492870,Animalia,Chordata,Aves,Passeriformes,Laniidae,Lanius,Lanius ludovicianus,2492870
Long‐billed Curlew,Numenius americanus,Y,NA,NA,No,"20,21,35,36,37","11,18",2481794,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Numenius,Numenius americanus,2481794
Long‐eared Owl,Asio otus,Y,NA,NA,Yes,NA,"9,10,11,12,13,14,15,16,17,18,19,23,30,32,33,
34",2497306,Animalia,Chordata,Aves,Strigiformes,Strigidae,Asio,Asio otus,2497306
Lucifer Hummingbird,Calothorax lucifer,Y,NA,NA,Yes,NA,35,2476570,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Calothorax,Calothorax lucifer,2476570
Magnificent Frigatebird,Fregata magnificens,Y,NA,NA,No,"M19,M20","31,101",2480189,Animalia,Chordata,Aves,Suliformes,Fregatidae,Fregata,Fregata magnificens,2480189
Mangrove Cuckoo,Coccyzus minor,Y,NA,NA,Yes,NA,31,2496294,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Coccyzus,Coccyzus minor,2496294
Manx Shearwater,Puffinus puffinus,Y,NA,NA,Yes,"M18,M19",NA,5229380,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus,Puffinus puffinus,5229380
Many‐colored Fruit‐Dove,Ptilinopus perousii,Y,NA,NA,Yes ‐ ssp. perousii only,NA,102,2495510,Animalia,Chordata,Aves,Columbiformes,Columbidae,Ptilinopus,Ptilinopus perousii,2495510
Mao (maomao) (honeyeater),Gymnomyza samoensis,N,Wherever found,NA,NA,NA,NA,5230476,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Gymnomyza,Gymnomyza samoensis,5230476
Marbled Godwit,Limosa fedoa,Y,NA,NA,Yes,"5,9,27,32,33,37","2,11,17,23",2481684,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Limosa,Limosa fedoa,2481684
Marbled Murrelet,Brachyramphus marmoratus,Y,NA,"CA, OR, WA",No,"M14,M15","1,2,4,5",5229281,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,5229281
Mariana Crow,Corvus kubaryi,Y,Wherever found,NA,NA,NA,NA,2482506,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,Corvus kubaryi,2482506
Mariana Fruit‐Dove,Ptilinopus roseicapilla,Y,NA,NA,Yes,NA,102,2495545,Animalia,Chordata,Aves,Columbiformes,Columbidae,Ptilinopus,Ptilinopus roseicapilla,2495545
Mariana Kingfisher,Todiramphus albicilla,Y,NA,NA,Yes,NA,102,7741716,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Todiramphus,Todiramphus albicilla,7741716
Mariana Swiftlet,Aerodramus bartschi,Y,Wherever found,NA,NA,NA,NA,2477241,Animalia,Chordata,Aves,Apodiformes,Apodidae,Aerodramus,Aerodramus bartschi,2477241
