group,scientific_name,common_name,gbif_taxonID,kingdom,phylum,class,order,family,genus,species,taxon_id
Mammals,Antrozous pallidus,Pallid Bat,2432339,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Antrozous,Antrozous pallidus,2432339
Mammals,Euderma maculatum,Spotted Bat,2432579,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Euderma,Euderma maculatum,2432579
Mammals,Corynorhinus,Townsend's Big-eared,2432583,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Corynorhinus,NA,2432583
NA,townsendii,Bat,3139238,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Townsendia,NA,3139238
Mammals,Ursus arctos,Grizzly Bear,2433433,Animalia,Chordata,Mammalia,Carnivora,Ursidae,Ursus,Ursus arctos,2433433
Mammals,Bos bison,Bison,2441178,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bison,Bison bison,2441176
Mammals,Lynx canadensis,Canada Lynx,2435263,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Lynx canadensis,2435263
Mammals,Synaptomys borealis,Northern Bog,2438953,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Synaptomys,Synaptomys borealis,2438953
Mammals,Perognathus parvus,Great Basin Pocket,2439554,Animalia,Chordata,Mammalia,Rodentia,Heteromyidae,Perognathus,Perognathus parvus,2439554
Mammals,Brachylagus idahoensis,Pygmy Rabbit,2436688,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Brachylagus,Brachylagus idahoensis,2436688
Mammals,Sorex arcticus,Arctic Shrew,2436104,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex arcticus,2436104
Mammals,Sorex nanus,Dwarf Shrew,2436108,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex nanus,2436108
Mammals,Sorex merriami,Merriam's Shrew,2435989,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex merriami,2435989
Mammals,Blarina brevicauda,Northern Short-tailed,2435862,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Blarina,Blarina brevicauda,2435862
Mammals,Sorex preblei,Preble's Shrew,2435996,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex preblei,2435996
Mammals,Sorex hoyi,Pygmy Shrew,2436053,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex hoyi,2436053
Mammals,Cynomys ludovicianus,Black-tailed Prairie,2437232,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Cynomys,Cynomys ludovicianus,2437232
Mammals,Cynomys leucurus,White-tailed Prairie,2437233,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Cynomys,Cynomys leucurus,2437233
Mammals,Mustela nigripes,Black-footed Ferret,5218985,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,Mustela nigripes,5218985
Mammals,Martes pennanti,Fisher,5218855,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Pekania,Pekania pennanti,8631083
Mammals,Gulo gulo,Wolverine,5219073,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Gulo,Gulo gulo,5219073
