ID_taxonID,scientificName,sPrimaryCommonName,synonymName,SWAP2015,SWAP2023,SWAP2023designation,lastUpdated,taxonomyNotes,comments,gbif_taxonID,kingdom,phylum,class,order,family,genus,species,taxon_id,subspecies,variety
80477,Athene cunicularia,Burrowing Owl,NA,TRUE,TRUE,SGCN,2024-04-16T00:00:00Z,NA,NA,2497240,Animalia,Chordata,Aves,Strigiformes,Strigidae,Athene,Athene cunicularia,2497240,NA,NA
15848,Strix nebulosa,Great Gray Owl,NA,TRUE,TRUE,SGCN,2024-04-16T00:00:00Z,NA,NA,2497522,Animalia,Chordata,Aves,Strigiformes,Strigidae,Strix,Strix nebulosa,2497522,NA,NA
15532,Antilocapra americana,Pronghorn,NA,NA,TRUE,SGCN,2025-05-06T00:00:00Z,NA,NA,2440902,Animalia,Chordata,Mammalia,Artiodactyla,Antilocapridae,Antilocapra,Antilocapra americana,2440902,NA,NA
18271,Oreamnos americanus,Rocky Mountain Goat,Mountain Goat,TRUE,TRUE,SGCN,2025-05-06T00:00:00Z,NA,NA,2441151,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Oreamnos,Oreamnos americanus,2441151,NA,NA
80168,Ovis canadensis californiana,California Bighorn Sheep,NA,TRUE,TRUE,SGCN,2025-05-06T00:00:00Z,This taxon is not recognized by NatureServe and therefore does not have a Grank,NA,4262555,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,Ovis canadensis,4262555,Ovis canadensis californiana,NA
80082,Ovis canadensis canadensis,Rocky Mountain Bighorn Sheep,NA,TRUE,TRUE,SGCN,2025-05-06T00:00:00Z,NA,NA,4262538,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,Ovis canadensis,4262538,Ovis canadensis canadensis,NA
77108,Alces alces,Moose,NA,NA,TRUE,SGCN,2025-05-06T00:00:00Z,NA,NA,2440940,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Alces,Alces alces,2440940,NA,NA
17769,Rangifer tarandus,Caribou,NA,TRUE,TRUE,SGCN,2025-05-06T00:00:00Z,NA,NA,5220114,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Rangifer,Rangifer tarandus,5220114,NA,NA
17479,Vulpes macrotis,Kit Fox,NA,NA,TRUE,SGIN - D,2025-05-06T00:00:00Z,NA,NA,5219311,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,Vulpes macrotis,5219311,NA,NA
16860,Lynx canadensis,Canada Lynx,Canadian Lynx,NA,TRUE,SGCN,2025-05-06T00:00:00Z,"ASM mainCommonName is ""Canadian Lynx""; Idaho SWAP SGCN is ""Canada Lynx (Purcell Mountains)""",Only lynx in the Purcell Mountains are considered SGCN,2435263,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Lynx canadensis,2435263,NA,NA
17557,Gulo gulo,Wolverine,NA,TRUE,TRUE,SGCN,2025-05-06T00:00:00Z,NA,NA,5219073,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Gulo,Gulo gulo,5219073,NA,NA
18839,Martes americana,American Marten,American Pine Marten,NA,TRUE,SGIN - E,2025-05-06T00:00:00Z,NA,NA,5218864,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Martes,Martes americana,5218864,NA,NA
18029,Pekania pennanti,Fisher,NA,TRUE,TRUE,SGCN,2025-05-06T00:00:00Z,NA,NA,8631083,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Pekania,Pekania pennanti,8631083,NA,NA
1867144,Ursus arctos pop. 6,Grizzly Bear (Greater Yellowstone Ecosystem population),Brown Bear,TRUE,TRUE,SGCN,2025-05-06T00:00:00Z,"ASM mainCommonName is ""Brown Bear""",NA,2433433,Animalia,Chordata,Mammalia,Carnivora,Ursidae,Ursus,Ursus arctos,2433433,NA,NA
1867144,Ursus arctos pop. 6,Grizzly Bear (Greater Yellowstone Ecosystem population),Brown Bear,TRUE,TRUE,SGCN,2025-05-06T00:00:00Z,"ASM mainCommonName is ""Brown Bear""",NA,2433433,Animalia,Chordata,Mammalia,Carnivora,Ursidae,Ursus,Ursus arctos,2433433,NA,NA
1986964,Ursus arctos pop. 7,Grizzly Bear (Selkirk–Cabinet population),Brown Bear,TRUE,TRUE,SGCN,2025-05-06T00:00:00Z,"ASM mainCommonName is ""Brown Bear""; Interagency Grizzly Bear Committee (IGBC) uses ""Selkirk/Cabinet–Yaak Ecosystems""",NA,2433433,Animalia,Chordata,Mammalia,Carnivora,Ursidae,Ursus,Ursus arctos,2433433,NA,NA
1986964,Ursus arctos pop. 7,Grizzly Bear (Selkirk–Cabinet population),Brown Bear,TRUE,TRUE,SGCN,2025-05-06T00:00:00Z,"ASM mainCommonName is ""Brown Bear""; Interagency Grizzly Bear Committee (IGBC) uses ""Selkirk/Cabinet–Yaak Ecosystems""",NA,2433433,Animalia,Chordata,Mammalia,Carnivora,Ursidae,Ursus,Ursus arctos,2433433,NA,NA
20004,Antrozous pallidus,Pallid Bat,NA,NA,TRUE,SGIN - E,2025-05-06T00:00:00Z,NA,NA,2432339,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Antrozous,Antrozous pallidus,2432339,NA,NA
17659,Corynorhinus townsendii,Townsend's Big-eared Bat,NA,TRUE,TRUE,SGCN,2025-05-06T00:00:00Z,NA,NA,2432479,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Corynorhinus,Corynorhinus townsendii,2432479,NA,NA
19549,Eptesicus fuscus,Big Brown Bat,NA,NA,TRUE,SGIN - E,2025-05-06T00:00:00Z,NA,NA,2432352,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Eptesicus,Eptesicus fuscus,2432352,NA,NA
